Title,Company,Link
Data Scientist,Microsoft,https://www.linkedin.com/jobs/view/data-scientist-at-microsoft-4202504441?position=1&pageNum=0&refId=0OxqvAXdrPeGm9mQC5g6zQ%3D%3D&trackingId=OtV59gt0j%2BYKdgZSjw3wkA%3D%3D
Data Scientist (L5) - App QoE,Netflix,https://www.linkedin.com/jobs/view/data-scientist-l5-app-qoe-at-netflix-4208340911?position=2&pageNum=0&refId=0OxqvAXdrPeGm9mQC5g6zQ%3D%3D&trackingId=tej7cDzo9rTUM0oMXunBmA%3D%3D
Data Scientist I,Pinterest,https://www.linkedin.com/jobs/view/data-scientist-i-at-pinterest-4211733043?position=3&pageNum=0&refId=0OxqvAXdrPeGm9mQC5g6zQ%3D%3D&trackingId=9pAZnzJ3qza8XlB1%2Fe6E3w%3D%3D
Data Scientist,,https://www.linkedin.com/jobs/view/data-scientist-at-techhuman-4210756145?position=4&pageNum=0&refId=0OxqvAXdrPeGm9mQC5g6zQ%3D%3D&trackingId=VYfn5UGcY9ZwlH8vLQNirg%3D%3D
,,https://www.linkedin.com/jobs/view/growth-data-scientist-analyst-at-crypto-com-4202438901?position=5&pageNum=0&refId=0OxqvAXdrPeGm9mQC5g6zQ%3D%3D&trackingId=bdK%2F1XIabBwhTnVZE0HIEw%3D%3D
Data Engineer (L5) - Conversation,Netflix,https://www.linkedin.com/jobs/view/data-engineer-l5-conversation-at-netflix-4188391146?position=1&pageNum=0&refId=0pEtPbTB1qHM%2B565IWzFrA%3D%3D&trackingId=3%2FgUPZZNYMKQ7c0b3vb4wA%3D%3D
Data Engineer (L4) - Security,Netflix,https://www.linkedin.com/jobs/view/data-engineer-l4-security-at-netflix-4148718851?position=2&pageNum=0&refId=0pEtPbTB1qHM%2B565IWzFrA%3D%3D&trackingId=9%2FvawSGodE%2FO3VW5Nl8y1Q%3D%3D
"Data Engineer, Analytics",Meta,https://www.linkedin.com/jobs/view/data-engineer-analytics-at-meta-4120823536?position=3&pageNum=0&refId=0pEtPbTB1qHM%2B565IWzFrA%3D%3D&trackingId=UiKAxtob90ENxpB4KFuu2A%3D%3D
"Data Engineer, Analytics",Meta,https://www.linkedin.com/jobs/view/data-engineer-analytics-at-meta-4120828009?position=4&pageNum=0&refId=0pEtPbTB1qHM%2B565IWzFrA%3D%3D&trackingId=m09i5hJh7hMBDVzypjC8Hw%3D%3D
,,https://www.linkedin.com/jobs/view/data-engineer-analytics-at-meta-4209526705?position=5&pageNum=0&refId=0pEtPbTB1qHM%2B565IWzFrA%3D%3D&trackingId=6RlmnnZJ1ZtelL0iI9WQ3g%3D%3D
Data Engineer (L5) - Conversation,Netflix,https://www.linkedin.com/jobs/view/data-engineer-l5-conversation-at-netflix-4188391146?position=1&pageNum=0&refId=%2FLzWfq7OBib1ZBnfaShQEg%3D%3D&trackingId=OPtohUHfY%2FlQiCNYB%2Fms7w%3D%3D
Data Engineer (L5),Netflix,https://www.linkedin.com/jobs/view/data-engineer-l5-at-netflix-3982462774?position=2&pageNum=0&refId=%2FLzWfq7OBib1ZBnfaShQEg%3D%3D&trackingId=Vk3f2hSuGUhVJd8KUYycCQ%3D%3D
"Data Engineer, Analytics",Meta,https://www.linkedin.com/jobs/view/data-engineer-analytics-at-meta-4120823536?position=3&pageNum=0&refId=%2FLzWfq7OBib1ZBnfaShQEg%3D%3D&trackingId=sbaqNMf01DxhQ0bJjYiF%2Fg%3D%3D
,,https://www.linkedin.com/jobs/view/business-intelligence-engineer-at-snap-inc-4173898583?position=4&pageNum=0&refId=%2FLzWfq7OBib1ZBnfaShQEg%3D%3D&trackingId=mgRcWTbLhND3xhu9QLU9og%3D%3D
,,https://www.linkedin.com/jobs/view/business-intelligence-engineer-at-snap-inc-4152221408?position=5&pageNum=0&refId=%2FLzWfq7OBib1ZBnfaShQEg%3D%3D&trackingId=khIavwKSkqzqS2%2BWuGDTiA%3D%3D
